id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0063,Colombia,79,F,Chan Chan,La Libertad,2025-02-27,14,4142.54,Avión
V0064,Chile,46,M,Chan Chan,La Libertad,2025-01-08,1,1326.81,Avión
V0065,Alemania,72,M,Islas Ballestas,Ica,2025-11-19,7,396.22,Auto particular
V0066,Perú,46,F,Chan Chan,La Libertad,2025-03-28,8,1647.41,Bus
V0067,Perú,20,F,Huacachina,Ica,2025-11-04,5,2755.18,Bus
V0068,EE.UU.,23,M,Santa Apolonia,Cajamarca,2025-09-14,9,2003.14,Auto particular
V0069,Alemania,24,M,Colca,Arequipa,2025-03-24,14,405.19,Auto particular
V0070,México,18,M,Santa Apolonia,Cajamarca,2025-05-20,3,3513.69,NA
V0071,Argentina,56,F,Santa Apolonia,Cajamarca,2025-08-02,3,3543.35,Auto particular
V0072,Colombia,23,M,Islas Ballestas,Ica,2025-11-07,6,263.26,NA
V0073,México,54,M,Kuelap,Amazonas,2025-06-19,1,4711.96,
V0074,Chile,57,M,Kuelap,Amazonas,2025-12-14,4,4231.49,Avión
V0075,Perú,55,M,Chan Chan,La Libertad,2025-01-22,10,625.24,
V0076,Brasil,38,F,Kuelap,Amazonas,2025-02-08,4,691.59,Avión
V0077,Colombia,25,F,Machu Picchu,Cusco,2025-01-30,9,656.74,Auto particular
V0078,México,56,F,Cataratas de Gocta,Amazonas,2025-07-22,2,1435.12,Auto particular
V0079,EE.UU.,46,M,Huacachina,Ica,2025-07-04,8,460.81,NA
V0080,Brasil,21,F,Lago Titicaca,Puno,2025-08-08,3,1955.87,Bus
V0081,Chile,69,M,Colca,Arequipa,2025-02-06,15,2839.61,
V0082,Colombia,45,F,Santa Apolonia,Cajamarca,2025-10-11,14,4846.75,Bus
V0083,México,64,M,Chan Chan,La Libertad,2025-01-14,6,2109.26,Bus
V0084,España,54,F,Islas Ballestas,Ica,2025-05-24,14,1699.83,NA
V0085,Chile,72,F,Líneas de Nazca,Ica,2025-02-21,15,2397.26,
V0086,España,47,F,Machu Picchu,Cusco,2025-07-01,1,2680.82,Bus
V0087,Argentina,58,F,Lago Titicaca,Puno,2025-12-28,9,4431.81,Auto particular
V0088,Chile,45,M,Chan Chan,La Libertad,2025-10-25,7,647.25,Bus
V0089,México,62,F,Islas Ballestas,Ica,2025-03-12,9,3435.52,NA
V0090,Colombia,72,F,Islas Ballestas,Ica,2025-09-20,7,3574.83,
V0091,México,46,M,Huacachina,Ica,2025-09-13,11,876.51,Avión
V0092,Perú,22,F,Colca,Arequipa,2025-12-02,1,1593.41,
V0093,Alemania,21,F,Kuelap,Amazonas,2025-04-06,4,4435.7,Avión
V0094,España,61,M,Lago Titicaca,Puno,2025-07-25,7,210.38,Avión
V0095,México,21,F,Chan Chan,La Libertad,2025-02-12,6,1473.41,Bus
V0096,Argentina,26,F,Santa Apolonia,Cajamarca,2025-12-11,12,3323.76,Bus
V0097,Perú,32,M,Santa Apolonia,Cajamarca,2025-09-12,11,4774.3,NA
V0098,EE.UU.,33,F,Colca,Arequipa,2025-09-18,12,2422.54,
V0099,Alemania,53,M,Líneas de Nazca,Ica,2025-03-21,13,3467.92,Avión
V0100,Colombia,48,M,Líneas de Nazca,Ica,2025-09-15,6,3496.6,NA
V0101,Alemania,51,F,Lago Titicaca,Puno,2025-02-09,5,1253.51,Avión
V0102,Argentina,45,M,Chan Chan,La Libertad,2025-11-01,2,2559.77,
V0103,EE.UU.,53,M,Líneas de Nazca,Ica,2025-04-29,12,4778.38,Bus
V0104,Brasil,61,M,Machu Picchu,Cusco,2025-06-10,12,4615.44,Bus
V0105,Alemania,45,F,Colca,Arequipa,2025-01-20,4,3380.28,Bus
V0106,México,26,M,Colca,Arequipa,2025-11-24,9,3940.72,Bus
V0107,Colombia,34,F,Kuelap,Amazonas,2025-05-22,5,4131.32,NA
V0108,Francia,64,F,Huacachina,Ica,2025-08-02,1,623.57,NA
V0109,Francia,63,M,Líneas de Nazca,Ica,2025-12-09,8,3898.65,Bus
V0110,Argentina,69,M,Chan Chan,La Libertad,2025-06-09,1,3355.91,Avión
V0111,Colombia,55,M,Kuelap,Amazonas,2025-05-18,11,4805.57,Bus
V0112,Francia,18,F,Santa Apolonia,Cajamarca,2025-11-12,12,2543.97,Bus
V0113,Alemania,70,F,Huacachina,Ica,2025-12-27,10,3198.55,Auto particular
V0114,Francia,68,M,Santa Apolonia,Cajamarca,2025-04-27,4,2329.76,NA
V0115,Perú,49,F,Machu Picchu,Cusco,2025-06-16,13,3196.15,NA
V0116,México,49,M,Kuelap,Amazonas,2025-12-06,10,3027.64,NA
V0117,Perú,32,F,Líneas de Nazca,Ica,2025-05-12,6,2711.51,Auto particular
V0118,Alemania,45,M,Huacachina,Ica,2025-01-05,6,3359.56,Avión
V0119,Perú,48,F,Lago Titicaca,Puno,2025-07-25,8,2518.9,Auto particular
V0120,Francia,74,M,Machu Picchu,Cusco,2025-04-04,2,666.42,Auto particular
V0121,Francia,63,M,Líneas de Nazca,Ica,2025-04-14,13,1978.11,Avión
V0122,Francia,19,M,Chan Chan,La Libertad,2025-09-29,3,4471.25,Auto particular
V0123,Perú,54,M,Santa Apolonia,Cajamarca,2025-08-26,5,2552.88,Bus
V0124,Colombia,68,F,Santa Apolonia,Cajamarca,2025-01-11,15,867.53,Auto particular
V0125,Brasil,72,F,Kuelap,Amazonas,2025-07-29,6,2480.7,Auto particular
V0126,España,41,M,Colca,Arequipa,2025-07-18,5,1227.93,
V0127,EE.UU.,64,M,Huacachina,Ica,2025-01-28,6,3055.67,
V0128,EE.UU.,50,F,Lago Titicaca,Puno,2025-12-26,15,303.62,Bus
V0129,México,29,M,Cataratas de Gocta,Amazonas,2025-10-21,10,2810.28,Avión
V0130,España,66,M,Chan Chan,La Libertad,2025-11-19,11,4923.5,Auto particular
V0131,Brasil,42,F,Huacachina,Ica,2025-07-12,12,4775.65,NA
V0132,México,31,F,Líneas de Nazca,Ica,2025-12-31,12,4880.23,Bus
V0133,Colombia,32,F,Machu Picchu,Cusco,2025-07-22,12,2977.66,Bus
V0134,Argentina,51,F,Machu Picchu,Cusco,2025-11-30,11,927.46,Avión
V0135,Chile,19,M,Chan Chan,La Libertad,2025-01-09,15,1234.41,Auto particular
V0136,Perú,33,F,Colca,Arequipa,2025-04-17,12,4039.86,Auto particular
V0137,Francia,51,F,Santa Apolonia,Cajamarca,2025-03-26,13,4035.66,Auto particular
V0138,Francia,31,M,Líneas de Nazca,Ica,2025-03-05,1,3426.58,Avión
V0139,España,61,M,Cataratas de Gocta,Amazonas,2025-01-03,1,2904.69,Bus
V0140,España,79,M,Islas Ballestas,Ica,2025-10-27,11,2580.14,Avión
V0141,Alemania,42,F,Lago Titicaca,Puno,2025-12-29,3,698.84,NA
V0142,EE.UU.,74,F,Lago Titicaca,Puno,2025-02-06,2,2675.88,Avión
V0143,Colombia,71,M,Santa Apolonia,Cajamarca,2025-12-16,6,4807.85,
V0144,EE.UU.,63,F,Santa Apolonia,Cajamarca,2025-10-08,7,2510.91,
V0145,España,47,F,Islas Ballestas,Ica,2025-06-30,5,3546.92,Avión
V0146,Argentina,30,M,Islas Ballestas,Ica,2025-07-03,3,4210.96,NA
V0147,Brasil,21,F,Lago Titicaca,Puno,2025-05-29,1,4628.14,Avión
V0148,EE.UU.,60,F,Machu Picchu,Cusco,2025-03-23,14,1777.86,
V0149,México,67,M,Colca,Arequipa,2025-03-17,11,3812.16,Avión
V0150,España,70,F,Machu Picchu,Cusco,2025-06-07,13,1602.52,Avión
V0151,EE.UU.,50,M,Colca,Arequipa,2025-08-25,10,1627.83,Auto particular
V0152,Colombia,47,M,Líneas de Nazca,Ica,2025-10-24,10,3211.12,
V0153,Alemania,23,M,Islas Ballestas,Ica,2025-12-23,11,4195.02,NA
V0154,Brasil,19,M,Chan Chan,La Libertad,2025-03-17,14,2922.96,NA
V0155,España,37,F,Islas Ballestas,Ica,2025-08-04,12,3157.9,NA
V0156,EE.UU.,27,F,Huacachina,Ica,2025-08-31,10,4000.14,
V0157,España,42,F,Santa Apolonia,Cajamarca,2025-10-06,4,3633.31,Auto particular
V0158,Francia,46,F,Islas Ballestas,Ica,2025-09-08,7,1577.61,Bus
V0159,Brasil,74,M,Machu Picchu,Cusco,2025-11-24,5,692.04,Avión
V0160,Chile,78,M,Lago Titicaca,Puno,2025-01-25,7,873.19,NA
V0161,Brasil,53,M,Machu Picchu,Cusco,2025-03-04,11,2300.43,Auto particular
V0162,Alemania,37,M,Islas Ballestas,Ica,2025-02-17,12,4478.05,NA
V0163,Alemania,42,F,Machu Picchu,Cusco,2025-09-24,9,2501.88,
V0164,Brasil,41,F,Kuelap,Amazonas,2025-12-31,5,2836.77,Avión
V0165,Perú,56,M,Chan Chan,La Libertad,2025-06-06,3,1700.81,Avión
V0166,España,74,M,Colca,Arequipa,2025-05-19,11,3544.54,NA
V0167,Alemania,26,M,Colca,Arequipa,2025-05-20,15,711.91,Bus
V0168,Colombia,27,F,Huacachina,Ica,2025-03-23,8,2300.9,Auto particular
V0169,España,19,F,Islas Ballestas,Ica,2025-03-06,2,1433.05,Auto particular
V0170,España,51,F,Islas Ballestas,Ica,2025-03-23,15,4745.21,Auto particular
V0171,España,34,M,Kuelap,Amazonas,2025-12-29,14,3536.01,Avión
V0172,Francia,65,F,Machu Picchu,Cusco,2025-02-15,14,4664.88,Bus
V0173,Argentina,76,F,Islas Ballestas,Ica,2025-10-22,15,2815.27,
V0174,España,26,F,Líneas de Nazca,Ica,2025-06-20,14,3555.19,Avión
V0175,EE.UU.,68,M,Lago Titicaca,Puno,2025-05-10,11,2011.42,NA
V0176,España,37,M,Santa Apolonia,Cajamarca,2025-08-18,7,4172.07,Avión
V0177,Colombia,62,M,Huacachina,Ica,2025-12-03,8,4655.85,Auto particular
V0178,Alemania,30,M,Santa Apolonia,Cajamarca,2025-10-17,12,3062.9,Bus
V0179,EE.UU.,41,M,Huacachina,Ica,2025-11-02,11,838.89,Auto particular
V0180,Alemania,18,M,Machu Picchu,Cusco,2025-07-03,14,788.27,Auto particular
V0181,Perú,62,M,Santa Apolonia,Cajamarca,2025-07-24,4,4947.85,Bus
V0182,Argentina,21,M,Huacachina,Ica,2025-12-29,8,4035.42,Avión
V0183,España,19,F,Lago Titicaca,Puno,2025-10-14,5,4862.38,Bus
V0184,Argentina,66,M,Cataratas de Gocta,Amazonas,2025-01-25,2,1296.3,Bus
V0185,Argentina,49,M,Kuelap,Amazonas,2025-09-19,2,4579.26,Bus
V0186,Colombia,52,M,Lago Titicaca,Puno,2025-10-11,15,1525.38,Auto particular
V0187,México,26,F,Santa Apolonia,Cajamarca,2025-03-29,2,2519.36,
V0188,Argentina,63,M,Lago Titicaca,Puno,2025-09-11,4,2274.24,Auto particular
V0189,EE.UU.,22,M,Huacachina,Ica,2025-05-10,6,3498.37,NA
V0190,EE.UU.,68,F,Huacachina,Ica,2025-07-15,4,265.13,NA
V0191,Brasil,72,M,Chan Chan,La Libertad,2025-06-19,7,1205.63,NA
V0192,Colombia,61,M,Santa Apolonia,Cajamarca,2025-09-21,1,400.93,
V0193,Argentina,25,F,Líneas de Nazca,Ica,2025-04-29,3,1268.16,Avión
V0194,Brasil,70,M,Colca,Arequipa,2025-05-09,2,3713.19,
V0195,Alemania,24,M,Cataratas de Gocta,Amazonas,2025-07-21,7,3312.76,Auto particular
V0196,Colombia,68,F,Machu Picchu,Cusco,2025-03-19,11,4015.79,Bus
V0197,Argentina,74,M,Machu Picchu,Cusco,2025-11-28,13,4335.23,Bus
V0198,Colombia,80,F,Kuelap,Amazonas,2025-07-13,7,1643.79,NA
V0199,Brasil,39,M,Santa Apolonia,Cajamarca,2025-12-06,15,2289.73,NA
V0200,Colombia,66,F,Chan Chan,La Libertad,2025-04-13,1,2765.52,NA
V0201,EE.UU.,79,M,Machu Picchu,Cusco,2025-07-23,3,3518.34,Auto particular
V0202,Colombia,79,F,Líneas de Nazca,Ica,2025-11-09,2,3598.91,NA
V0203,España,44,M,Islas Ballestas,Ica,2025-07-13,3,3117.51,NA
V0204,Francia,80,F,Chan Chan,La Libertad,2025-04-14,5,784.06,NA
V0205,Francia,68,F,Islas Ballestas,Ica,2025-05-09,12,1586.84,NA
V0206,EE.UU.,53,F,Santa Apolonia,Cajamarca,2025-04-08,13,3795.27,Avión
V0207,Chile,72,M,Lago Titicaca,Puno,2025-07-16,14,3254.02,NA
V0208,Francia,29,F,Cataratas de Gocta,Amazonas,2025-07-11,12,4624.38,Avión
V0209,Francia,56,F,Huacachina,Ica,2025-12-31,5,708.1,Bus
V0210,Francia,55,F,Cataratas de Gocta,Amazonas,2025-09-13,2,3644.15,Auto particular
V0211,EE.UU.,30,M,Santa Apolonia,Cajamarca,2025-01-11,3,4190.36,Bus
V0212,Argentina,57,M,Machu Picchu,Cusco,2025-12-06,14,3970.06,Auto particular
V0213,México,25,F,Colca,Arequipa,2025-03-18,1,857.28,NA
V0214,México,27,F,Huacachina,Ica,2025-08-29,12,3973.63,Bus
V0215,Colombia,47,M,Líneas de Nazca,Ica,2025-11-27,7,1264.27,Bus
V0216,España,31,F,Chan Chan,La Libertad,2025-09-30,6,1966.18,
V0217,Francia,44,F,Santa Apolonia,Cajamarca,2025-03-25,3,3892.72,NA
V0218,Francia,71,F,Líneas de Nazca,Ica,2025-05-31,8,4347.09,Auto particular
V0219,Francia,58,M,Chan Chan,La Libertad,2025-10-23,11,4891.53,Auto particular
V0220,Francia,50,M,Machu Picchu,Cusco,2025-02-09,2,3265.21,Bus
V0221,España,78,M,Colca,Arequipa,2025-11-17,10,2820.91,Auto particular
V0222,España,33,M,Kuelap,Amazonas,2025-02-20,1,1200.82,Bus
V0223,España,62,F,Santa Apolonia,Cajamarca,2025-11-24,4,1393.32,Bus
V0224,Perú,21,F,Machu Picchu,Cusco,2025-05-12,10,1213.66,Bus
V0225,Chile,62,F,Kuelap,Amazonas,2025-06-14,12,3049.76,Bus
V0226,Perú,19,F,Santa Apolonia,Cajamarca,2025-05-07,2,659.68,
V0227,España,23,M,Kuelap,Amazonas,2025-02-06,14,1108.77,
V0228,España,66,F,Lago Titicaca,Puno,2025-09-11,2,1659.48,Bus
V0229,México,21,F,Colca,Arequipa,2025-11-04,10,2280.48,Avión
V0230,Argentina,75,F,Santa Apolonia,Cajamarca,2025-07-08,6,3623.27,NA
V0231,EE.UU.,24,M,Huacachina,Ica,2025-07-26,4,4671.58,Bus
V0232,España,75,M,Kuelap,Amazonas,2025-10-14,15,4151.92,
V0233,España,41,F,Lago Titicaca,Puno,2025-03-22,13,2764.61,
V0234,Brasil,49,F,Machu Picchu,Cusco,2025-04-18,1,3684.96,Bus
V0235,México,25,F,Lago Titicaca,Puno,2025-05-11,4,1402.99,Auto particular
V0236,Francia,26,F,Cataratas de Gocta,Amazonas,2025-11-17,10,1100.68,Bus
V0237,Brasil,51,F,Cataratas de Gocta,Amazonas,2025-07-30,5,2709.59,NA
V0238,Perú,23,M,Machu Picchu,Cusco,2025-10-19,4,4620.95,NA
V0239,Francia,62,F,Lago Titicaca,Puno,2025-06-29,10,3438.9,NA
V0240,Argentina,23,M,Líneas de Nazca,Ica,2025-11-11,6,667.8,Bus
V0241,Brasil,39,F,Cataratas de Gocta,Amazonas,2025-09-10,6,3059.71,Bus
V0242,México,78,F,Líneas de Nazca,Ica,2025-10-03,2,1831.41,
V0243,México,60,F,Kuelap,Amazonas,2025-04-25,15,2828.3,Bus
V0244,Argentina,28,M,Santa Apolonia,Cajamarca,2025-04-03,12,2543.87,
V0245,Brasil,78,M,Santa Apolonia,Cajamarca,2025-07-17,6,4379.9,
V0246,Chile,46,F,Chan Chan,La Libertad,2025-09-29,2,4442.34,
V0247,Chile,61,F,Machu Picchu,Cusco,2025-05-26,3,4011.98,NA
V0248,España,25,F,Lago Titicaca,Puno,2025-04-11,5,1189.21,
V0249,México,59,F,Chan Chan,La Libertad,2025-08-22,14,1718.17,NA
V0250,Alemania,33,M,Colca,Arequipa,2025-01-02,7,3987.58,Auto particular
V0251,Colombia,71,M,Islas Ballestas,Ica,2025-06-12,4,3498.65,Bus
V0252,Chile,19,M,Líneas de Nazca,Ica,2025-10-21,15,1481.95,
V0253,Perú,61,F,Chan Chan,La Libertad,2025-03-30,7,413.29,Avión
V0254,Brasil,44,F,Machu Picchu,Cusco,2025-09-04,14,1317.51,
V0255,Alemania,74,F,Lago Titicaca,Puno,2025-11-20,9,3068.75,
V0256,Francia,51,M,Lago Titicaca,Puno,2025-12-19,5,2956.64,NA
V0257,Alemania,57,F,Kuelap,Amazonas,2025-10-15,13,4717.84,Avión
V0258,Chile,52,F,Machu Picchu,Cusco,2025-01-06,6,753.96,Bus
V0259,México,32,F,Lago Titicaca,Puno,2025-11-17,3,3831.7,
V0260,Chile,69,M,Santa Apolonia,Cajamarca,2025-05-02,2,1708.48,Bus
V0261,Brasil,59,F,Santa Apolonia,Cajamarca,2025-05-10,13,1476.24,
V0262,Alemania,57,F,Colca,Arequipa,2025-11-23,12,1243.34,NA
V0263,Argentina,47,M,Líneas de Nazca,Ica,2025-08-31,1,4561.91,Bus
V0264,Francia,41,M,Líneas de Nazca,Ica,2025-03-19,13,3550.38,
V0265,España,69,M,Kuelap,Amazonas,2025-10-19,2,2071.7,NA
V0266,EE.UU.,37,F,Lago Titicaca,Puno,2025-02-12,7,4044.68,
V0267,Alemania,29,M,Lago Titicaca,Puno,2025-12-02,10,875.56,Bus
V0268,México,38,F,Machu Picchu,Cusco,2025-07-06,1,1664.57,
V0269,Chile,70,M,Cataratas de Gocta,Amazonas,2025-10-06,8,3588.26,Auto particular
V0270,España,60,F,Colca,Arequipa,2025-04-17,12,1927.44,Avión
V0271,Argentina,42,F,Santa Apolonia,Cajamarca,2025-10-15,3,382.93,
V0272,EE.UU.,73,F,Kuelap,Amazonas,2025-11-05,7,4759.2,
V0273,Brasil,56,F,Chan Chan,La Libertad,2025-10-17,10,1283.77,Auto particular
V0274,Perú,57,F,Líneas de Nazca,Ica,2025-08-13,7,2227.78,Auto particular
V0275,Alemania,32,F,Huacachina,Ica,2025-11-25,13,3803.14,NA
V0276,EE.UU.,33,F,Cataratas de Gocta,Amazonas,2025-03-12,6,4752.19,
V0277,EE.UU.,60,M,Líneas de Nazca,Ica,2025-01-19,5,3746.94,Auto particular
V0278,Brasil,70,M,Islas Ballestas,Ica,2025-08-23,13,1720.55,
V0279,Francia,52,F,Colca,Arequipa,2025-01-10,12,3019.5,
V0280,Chile,34,M,Líneas de Nazca,Ica,2025-08-16,7,2842.76,NA
V0281,Chile,59,M,Huacachina,Ica,2025-06-25,1,4193.76,
V0282,México,79,F,Huacachina,Ica,2025-10-08,4,3226.69,Bus
V0283,Chile,19,M,Lago Titicaca,Puno,2025-06-04,3,4790.85,
V0284,España,68,M,Huacachina,Ica,2025-02-13,10,2083.09,Bus
V0285,Argentina,31,M,Islas Ballestas,Ica,2025-12-22,6,1788.58,Avión
V0286,México,41,M,Islas Ballestas,Ica,2025-02-23,9,262.84,Auto particular
V0287,EE.UU.,32,M,Islas Ballestas,Ica,2025-12-07,6,4947.17,
V0288,Chile,79,F,Líneas de Nazca,Ica,2025-02-08,9,1994.89,NA
V0289,Alemania,78,F,Machu Picchu,Cusco,2025-11-22,7,519.84,Bus
V0290,Argentina,23,M,Kuelap,Amazonas,2025-07-01,4,2493.5,NA
V0291,Chile,42,M,Santa Apolonia,Cajamarca,2025-01-30,10,4877.34,Auto particular
V0292,España,74,M,Islas Ballestas,Ica,2025-05-26,12,4822.53,Auto particular
V0293,Brasil,67,F,Huacachina,Ica,2025-10-28,6,3049.99,Avión
V0294,México,30,F,Colca,Arequipa,2025-03-10,4,305.25,NA
V0295,Brasil,59,F,Cataratas de Gocta,Amazonas,2025-08-26,9,4928.47,Auto particular
V0296,Chile,70,M,Santa Apolonia,Cajamarca,2025-02-01,12,3103.14,Bus
V0297,Argentina,71,M,Lago Titicaca,Puno,2025-04-06,4,3652.46,Avión
V0298,EE.UU.,38,M,Santa Apolonia,Cajamarca,2025-01-12,8,4273.63,Auto particular
V0299,España,62,M,Santa Apolonia,Cajamarca,2025-03-04,5,649.41,
V0300,México,65,M,Líneas de Nazca,Ica,2025-06-18,2,3507.4,Avión
V0301,España,68,M,Islas Ballestas,Ica,2025-08-21,6,3025.85,NA
V0302,EE.UU.,65,M,Islas Ballestas,Ica,2025-05-23,4,2888.4,Bus
V0303,Chile,49,M,Cataratas de Gocta,Amazonas,2025-02-15,8,832.55,Auto particular
V0304,Argentina,63,M,Cataratas de Gocta,Amazonas,2025-03-05,11,2257.72,
V0305,Colombia,71,M,Cataratas de Gocta,Amazonas,2025-08-11,12,4153.23,
V0306,Argentina,25,M,Chan Chan,La Libertad,2025-05-17,8,1205.67,
V0307,Brasil,36,M,Cataratas de Gocta,Amazonas,2025-05-29,11,1160.09,NA
V0308,España,53,F,Lago Titicaca,Puno,2025-06-09,12,2883.76,NA
V0309,Perú,52,M,Lago Titicaca,Puno,2025-08-27,5,2458.64,Auto particular
V0310,España,24,F,Kuelap,Amazonas,2025-06-05,1,3189.46,Bus
V0311,EE.UU.,21,F,Kuelap,Amazonas,2025-05-22,2,1927.9,NA
V0312,Chile,38,M,Islas Ballestas,Ica,2025-02-24,7,3356.54,Avión
V0313,Francia,39,M,Islas Ballestas,Ica,2025-05-15,11,4629.12,Bus
V0314,España,74,M,Huacachina,Ica,2025-03-16,9,1572.19,Avión
V0315,Chile,34,M,Huacachina,Ica,2025-05-08,6,1298.83,NA
V0316,Chile,61,M,Colca,Arequipa,2025-12-13,7,4248.89,NA
V0317,Alemania,55,F,Líneas de Nazca,Ica,2025-10-13,15,4296.48,
V0318,EE.UU.,56,F,Lago Titicaca,Puno,2025-11-06,13,4443.37,NA
V0319,México,34,F,Kuelap,Amazonas,2025-02-28,2,3626.85,Bus
V0320,Chile,75,M,Kuelap,Amazonas,2025-08-13,4,532.14,Avión
V0321,Colombia,80,F,Chan Chan,La Libertad,2025-05-13,2,4729.65,Avión
V0322,México,59,F,Machu Picchu,Cusco,2025-05-08,6,2278.04,
V0323,Chile,74,F,Islas Ballestas,Ica,2025-02-21,9,2606.93,NA
V0324,Argentina,28,F,Huacachina,Ica,2025-11-06,5,1479.97,NA
